iter	F1	Logloss
0	0.7756794482	0.6340605813
1	0.8695302013	0.569673642
2	0.8830035971	0.513506395
3	0.8831087152	0.4656147331
4	0.8816469636	0.42175383
5	0.8808485775	0.3813116921
6	0.885382581	0.3461023055
7	0.8854236681	0.3148624527
8	0.8859222217	0.2879206202
9	0.885134834	0.2637480737
10	0.8880573745	0.2446918811
11	0.8897999198	0.2272954023
12	0.8885921574	0.2117497321
13	0.8902949826	0.1985419533
14	0.8904341624	0.1864767322
15	0.8902645408	0.17606026
16	0.8906716584	0.1651968213
17	0.8901955544	0.15708064
18	0.8906208248	0.1495858526
19	0.890323155	0.1430562669
20	0.8902248942	0.1372643148
21	0.8902634389	0.1317352168
22	0.890431069	0.1267421293
23	0.8905200409	0.1224472991
24	0.8909357896	0.1179537221
25	0.8918534329	0.1144821459
26	0.8926302696	0.110655552
27	0.8923651231	0.1073912629
28	0.8921559918	0.1044164778
29	0.8925237799	0.1020085657
30	0.8928840946	0.09984890709
31	0.8929174442	0.09750459046
32	0.8933220776	0.09573291119
33	0.8933445961	0.09403011887
34	0.8932634198	0.09218815621
35	0.8937663838	0.09072893874
36	0.8939932468	0.08919980577
37	0.8939252544	0.08794438534
38	0.8940706196	0.08666216901
39	0.8939043896	0.08543891902
40	0.8940403233	0.08430408671
41	0.893870123	0.08342429278
42	0.8942115768	0.08256161288
43	0.8945570687	0.08173336396
44	0.8947952256	0.08104358881
45	0.8949864799	0.0802113461
46	0.8953199787	0.07945497237
47	0.8952710189	0.07879245045
48	0.8955210643	0.07829733916
49	0.8955488562	0.07789882908
50	0.8951688035	0.07722859218
51	0.8955700412	0.07672736626
52	0.895664137	0.07630286737
53	0.8956031767	0.07576956972
54	0.8961753483	0.07529009685
55	0.895982242	0.07482339539
56	0.8962180398	0.0743736915
57	0.8966404828	0.07404538348
58	0.8968761093	0.07367243042
59	0.8965823347	0.07325577957
60	0.8968578022	0.0728997872
61	0.8968394886	0.07256292288
62	0.8968486462	0.0721882184
63	0.8970751409	0.07189780247
64	0.8970568651	0.07164314384
65	0.8972651394	0.07134793139
66	0.8975895592	0.07108855912
67	0.8976384943	0.0708573477
68	0.8976328996	0.07066568309
69	0.8977833059	0.07035909357
70	0.8978267633	0.0701227596
71	0.8980045331	0.06988337465
72	0.8979827602	0.06959404192
73	0.8984579834	0.06938945586
74	0.898795502	0.06918244516
75	0.8986885975	0.06900666677
76	0.8990042674	0.06880133785
77	0.8992041261	0.06857835961
78	0.8992661775	0.06834877309
79	0.8994530173	0.06819204166
80	0.8994483004	0.06797934175
81	0.9000178063	0.06778180029
82	0.9001780944	0.0676087911
83	0.900347315	0.06744014931
84	0.900298348	0.06723758895
85	0.900498842	0.06710789899
86	0.900432129	0.06697324969
87	0.9002762677	0.06681106657
88	0.9004680187	0.0666258912
89	0.9004992867	0.0665079418
90	0.9004950716	0.06639097878
91	0.9009812667	0.06624031129
92	0.9007626778	0.06609011964
93	0.9007940048	0.06594180885
94	0.9009234063	0.06579034111
95	0.9011332203	0.06566567479
96	0.9012450355	0.06557716976
97	0.9017088297	0.06544945679
98	0.9017805346	0.06531174584
99	0.9023475855	0.06519212164
100	0.9028025705	0.06502966086
101	0.9028515329	0.06489649956
102	0.9029637565	0.0647752071
103	0.9030530262	0.06463405511
104	0.9032546096	0.06452004106
105	0.9034821429	0.06442193816
106	0.9038478707	0.06430495001
107	0.9037989375	0.06416233598
108	0.903945724	0.06403146086
109	0.9040667827	0.06391535801
110	0.9040667827	0.06378732609
111	0.9042600697	0.06367473651
112	0.9042686194	0.06355905909
113	0.9046810791	0.06346897175
114	0.9048108277	0.06335643755
115	0.9048257373	0.06325451782
116	0.905027933	0.06314794093
117	0.9052471619	0.06305777817
118	0.905457959	0.06294025043
119	0.905457959	0.06282559372
120	0.9056451973	0.06271607823
121	0.9056283249	0.06261958271
122	0.9053751901	0.06252465507
123	0.9052857526	0.06244383247
124	0.9053177691	0.06235656832
125	0.9053987565	0.06230149477
126	0.905496668	0.06220003078
127	0.9053987565	0.062117736
128	0.9054307954	0.06204523252
129	0.9053987565	0.06197527415
130	0.9056401074	0.06188185327
131	0.9055742109	0.06182140441
132	0.9055978504	0.06175645488
133	0.9055826655	0.06166601571
134	0.905687416	0.06157545461
135	0.9057279771	0.06149838471
136	0.9059882653	0.06144118993
137	0.9059308368	0.06137369236
138	0.9060456785	0.06131248933
139	0.9063787852	0.06123588508
140	0.9062891955	0.06114569501
141	0.9061842282	0.06104994233
142	0.9063465759	0.06097816013
143	0.9064277716	0.06088221825
144	0.9063214014	0.06081736586
145	0.9062962133	0.06075149273
146	0.906490945	0.06066897585
147	0.9065638451	0.06061775856
148	0.906538703	0.06053531308
149	0.9066367713	0.06046995412
150	0.9066690586	0.06041209864
151	0.9067097237	0.06033249042
152	0.9069298049	0.06024403018
153	0.9070518572	0.06017487056
154	0.9070925486	0.06010910922
155	0.9070435173	0.06004908589
156	0.9069944816	0.05998868137
157	0.9073450891	0.05991105822
158	0.9074838478	0.05984785334
159	0.9073608618	0.05979308296
160	0.9074830543	0.05973428698
161	0.9076709008	0.0596561232
162	0.9077931406	0.05957873793
163	0.9077116438	0.05952484198
164	0.9076626117	0.05947870556
165	0.9075645342	0.0594167441
166	0.9076377352	0.05936510674
167	0.9075637801	0.05930739069
168	0.9075637801	0.05923147822
169	0.9079148324	0.05918060185
170	0.9079556174	0.05911849212
171	0.9079148324	0.05905072477
172	0.9081595974	0.05899928952
173	0.9080614721	0.0589313232
174	0.9082329678	0.05886997074
175	0.9084374158	0.05880578423
176	0.9086089145	0.05875540384
