iter	Passed	Remaining
407	5539	2864
408	5552	2851
409	5565	2837
410	5580	2824
411	5595	2811
412	5609	2797
413	5621	2783
414	5634	2769
415	5647	2756
416	5662	2742
417	5675	2729
418	5690	2716
419	5703	2702
420	5716	2688
421	5730	2675
422	5744	2661
423	5758	2648
424	5773	2635
425	5785	2621
426	5799	2607
427	5814	2594
428	5829	2581
429	5844	2568
430	5858	2555
431	5872	2541
432	5885	2528
433	5900	2515
434	5913	2501
435	5927	2488
436	5941	2474
437	5956	2461
438	5972	2448
439	5985	2434
440	6000	2421
441	6015	2408
442	6030	2395
443	6047	2383
444	6063	2370
445	6077	2357
446	6090	2343
447	6106	2330
448	6123	2318
449	6137	2305
450	6150	2291
451	6165	2277
452	6179	2264
453	6194	2251
454	6209	2238
455	6224	2224
456	6239	2211
457	6253	2198
458	6267	2184
459	6279	2170
460	6294	2157
461	6310	2144
462	6325	2131
463	6339	2117
464	6353	2104
465	6368	2090
466	6386	2078
467	6404	2066
468	6419	2053
469	6435	2040
470	6454	2028
471	6472	2015
472	6490	2003
473	6507	1990
474	6524	1977
475	6539	1964
476	6555	1951
477	6571	1938
478	6587	1925
479	6604	1912
480	6619	1899
481	6633	1885
482	6649	1872
483	6665	1859
484	6680	1845
485	6696	1832
486	6712	1819
487	6730	1806
488	6747	1793
489	6763	1780
490	6782	1768
491	6801	1755
492	6820	1743
493	6840	1730
494	6859	1718
495	6876	1705
496	6893	1692
497	6907	1678
498	6923	1664
499	6938	1651
500	6955	1638
501	6973	1625
502	6994	1613
503	7014	1600
504	7030	1587
505	7047	1573
506	7067	1561
507	7085	1548
508	7102	1534
509	7120	1521
510	7141	1509
511	7159	1496
512	7173	1482
513	7189	1468
514	7203	1454
515	7219	1441
516	7233	1427
517	7249	1413
518	7270	1400
519	7289	1387
520	7310	1375
521	7327	1361
522	7344	1348
523	7362	1334
524	7377	1320
525	7392	1307
526	7406	1292
527	7422	1279
528	7439	1265
529	7452	1251
530	7470	1238
531	7488	1224
532	7506	1211
533	7519	1196
534	7537	1183
535	7551	1169
536	7567	1155
537	7586	1142
538	7603	1128
539	7624	1115
540	7644	1102
541	7663	1088
542	7686	1075
543	7704	1062
544	7725	1049
545	7746	1035
546	7762	1021
547	7780	1008
548	7794	993
549	7812	980
550	7828	966
551	7846	952
552	7861	938
553	7878	924
554	7894	910
555	7912	896
556	7936	883
557	7955	869
558	7977	856
559	7998	842
560	8022	829
561	8047	816
562	8071	802
563	8089	788
564	8114	775
565	8133	761
566	8161	748
567	8183	734
568	8201	720
569	8225	707
570	8247	693
571	8267	679
572	8289	665
573	8316	651
574	8335	637
575	8363	624
576	8386	610
577	8410	596
578	8437	582
579	8459	568
580	8486	555
581	8514	541
582	8537	527
583	8561	513
584	8586	499
585	8614	485
586	8642	471
587	8668	457
588	8698	443
589	8728	429
590	8755	414
591	8777	400
592	8807	386
593	8828	371
594	8852	357
595	8883	342
596	8907	328
597	8933	313
598	8958	299
599	8986	284
600	9010	269
601	9036	255
602	9058	240
603	9087	225
604	9115	210
605	9142	196
606	9167	181
607	9193	166
608	9222	151
609	9242	136
610	9275	121
611	9299	106
612	9327	91
613	9346	76
614	9363	60
615	9393	45
616	9411	30
617	9438	15
618	9463	0
